"filename", "language", "JSON", "C#", "XML", "aspnetcorerazor", "Markdown", "Properties", "JavaScript", "CSS", "SCSS", "Less", "Ignore", "PowerShell", "comment", "blank", "total"
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\dropdowns.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 44, 25, 214
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\forms.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 382, 0, 0, 142, 82, 606
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\glyphicons.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 283, 0, 0, 20, 5, 308
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\grid.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 30, 28, 95
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\input-groups.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 32, 20, 174
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\jumbotron.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 3, 11, 55
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\labels.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 8, 12, 65
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\list-group.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 29, 25, 131
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\media.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 6, 13, 67
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 6, 5, 41
